move_id,total_distance,total_duration,rank_by_distance,rank_by_duration
51,280.82992496459974,0 days 00:02:17,295,489
577,278.55543445120617,0 days 00:04:13,296,91
68,277.6266014536799,0 days 00:02:34,297,384
149,275.81278305426406,0 days 00:02:18,298,470
235,274.31171484276143,0 days 00:02:31,299,389
11,271.19104416701316,0 days 00:02:20,300,430
455,270.1433984760296,0 days 00:03:18,301,144
13,269.98730416434563,0 days 00:02:19,302,449
359,268.73668992300986,0 days 00:03:04,303,281
281,267.4981134913278,0 days 00:03:00,304,310
430,266.6796241155771,0 days 00:03:20,305,141
43,264.5866894592292,0 days 00:02:15,306,511
27,264.4053302725817,0 days 00:02:16,307,502
309,264.1433085899625,0 days 00:03:14,308,161
510,263.6357510120189,0 days 00:06:55,309,35
295,262.5816352651821,0 days 00:03:15,310,156
434,260.3693418194867,0 days 00:03:11,311,200
59,260.09460874318034,0 days 00:02:18,312,470
129,259.9467894240734,0 days 00:02:17,313,489
154,259.2291155313786,0 days 00:02:21,314,423
549,259.0851801108194,0 days 00:02:59,315,316
322,258.35249543955496,0 days 00:03:10,316,211
335,258.0790794724846,0 days 00:03:05,317,274
48,257.9965577070278,0 days 00:02:17,318,489
96,257.125259315052,0 days 00:02:20,319,430
74,256.24342353372,0 days 00:03:10,320,211
47,253.28530713748998,0 days 00:02:16,321,502
97,251.12233951020642,0 days 00:02:19,322,449
25,245.1950816067943,0 days 00:02:16,323,502
550,242.30912587198665,0 days 00:02:56,324,327
433,242.29515408867508,0 days 00:03:10,325,211
32,242.05642174431475,0 days 00:02:14,326,521
324,240.17532959114902,0 days 00:03:14,327,161
328,239.82352416166492,0 days 00:03:05,328,274
28,239.0313911212756,0 days 00:02:15,329,511
64,232.7446984551408,0 days 00:02:12,330,527
17,231.83244231669835,0 days 00:02:23,331,414
151,230.48843301500878,0 days 00:02:19,332,449
159,229.31595293808357,0 days 00:02:31,333,389
528,224.3068942434263,0 days 00:13:51,334,16
255,215.61753380072074,0 days 00:00:59,335,536
443,215.16078977252172,0 days 00:07:32,336,31
5,209.93747087769626,0 days 00:02:18,337,470
49,209.28880912784993,0 days 00:02:19,338,449
71,208.33007533954907,0 days 00:02:30,339,392
333,207.03712645398264,0 days 00:03:02,340,300
372,204.0184711905475,0 days 00:03:14,341,161
16,203.4234787066064,0 days 00:02:19,342,449
58,200.9890763770111,0 days 00:02:19,343,449
426,200.88951063751577,0 days 00:03:13,344,176
507,198.01423165369624,0 days 00:03:07,345,251
393,197.46228970572923,0 days 00:03:14,346,161
63,197.2459834001416,0 days 00:02:11,347,531
197,195.9118846157284,0 days 00:02:17,348,489
22,193.07220851233046,0 days 00:02:20,349,430
428,192.4825148050579,0 days 00:03:12,350,192
323,190.52787916332886,0 days 00:03:07,351,251
56,190.0552245540331,0 days 00:02:21,352,423
152,189.61939825400324,0 days 00:02:19,353,449
62,188.4036088263586,0 days 00:02:18,354,470
190,186.63669861159568,0 days 00:02:18,355,470
425,186.07684930186923,0 days 00:03:06,356,263
19,183.44584335505792,0 days 00:02:20,357,430
7,181.60283582136105,0 days 00:02:22,358,419
193,181.1802241107623,0 days 00:02:15,359,511
355,180.77582665422997,0 days 00:03:03,360,293
394,180.5772611449748,0 days 00:03:16,361,150
24,179.2574452329291,0 days 00:02:20,362,430
506,178.64745346556737,0 days 00:03:13,363,176
1,178.5289920698357,0 days 00:02:20,364,430
30,176.7027791022694,0 days 00:02:14,365,521
360,174.97792262825388,0 days 00:03:00,366,310
57,174.96137167578289,0 days 00:02:19,367,449
285,174.48568303760925,0 days 00:02:56,368,327
294,174.41135863288642,0 days 00:03:12,369,192
438,174.1964772357037,0 days 00:03:00,370,310
304,171.03338310029773,0 days 00:03:09,371,226
439,168.98879125305461,0 days 00:02:57,372,326
303,166.17835446266844,0 days 00:03:07,373,251
284,165.5048508243616,0 days 00:02:54,374,333
99,164.947452820839,0 days 00:02:16,375,502
297,164.46037197915865,0 days 00:03:17,376,146
292,163.95903979368066,0 days 00:03:01,377,305
362,163.49837326589946,0 days 00:03:07,378,251
415,163.21226806317222,0 days 00:03:12,379,192
370,163.1391542777907,0 days 00:03:09,380,226
221,161.78337866536907,0 days 00:02:29,381,395
189,161.45402929845292,0 days 00:02:20,382,430
351,160.96543699906903,0 days 00:03:06,383,263
289,160.46481852073387,0 days 00:03:07,384,251
240,159.61270756166059,0 days 00:02:19,385,449
6,157.84947046026676,0 days 00:02:25,386,405
52,157.75027329653759,0 days 00:02:13,387,525
181,157.51917273906994,0 days 00:02:24,388,408
168,156.42105697988302,0 days 00:02:20,389,430
209,156.1438229360586,0 days 00:02:18,390,470
192,156.09145385196948,0 days 00:02:24,391,408
412,155.38812945555964,0 days 00:03:06,392,263
65,155.28962611209207,0 days 00:09:52,393,23
305,153.89376849869728,0 days 00:03:11,394,200
100,153.0301820145001,0 days 00:02:17,395,489
390,152.58190331143487,0 days 00:03:14,396,161
14,151.03440405212262,0 days 00:02:20,397,430
12,149.14506145553923,0 days 00:02:21,398,423
431,148.1900000888063,0 days 00:03:11,399,200
298,148.0479429057866,0 days 00:03:05,400,274
489,147.10561368703733,0 days 00:03:16,401,150
299,146.86928640625098,0 days 00:03:08,402,241
286,146.85928748210225,0 days 00:03:10,403,211
102,145.73942766927567,0 days 00:02:15,404,511
382,144.73564715874284,0 days 00:03:14,405,161
422,143.24458390434415,0 days 00:03:04,406,281
291,142.60328779726797,0 days 00:03:14,407,161
420,142.23614589075925,0 days 00:03:10,408,211
242,141.37509424245508,0 days 00:02:17,409,489
418,141.2230781873908,0 days 00:03:08,410,241
385,140.14972765856052,0 days 00:03:16,411,150
105,139.64698448545727,0 days 00:02:16,412,502
201,139.27673981362773,0 days 00:02:19,413,449
104,139.08823885908356,0 days 00:02:16,414,502
10,138.91536356179634,0 days 00:02:19,415,449
8,138.56531035343764,0 days 00:02:20,416,430
334,136.656290262753,0 days 00:03:13,417,176
211,136.34687543517552,0 days 00:02:19,418,449
3,135.18525132633374,0 days 00:02:21,419,423
94,134.27925651056742,0 days 00:02:19,420,449
95,133.25548086541323,0 days 00:02:12,421,527
353,132.0431248524359,0 days 00:03:08,422,241
331,130.41863426513123,0 days 00:03:02,423,300
514,129.6598655735051,0 days 00:04:53,424,66
327,128.99792216409162,0 days 00:03:06,425,263
9,128.95546526565653,0 days 00:02:17,426,489
117,128.91719752358802,0 days 00:05:57,427,51
98,127.3117649349348,0 days 00:02:17,428,489
15,126.75730380791337,0 days 00:02:23,429,414
413,125.4780128749206,0 days 00:03:09,430,226
411,125.02177215573194,0 days 00:03:08,431,241
18,124.99601121459499,0 days 00:02:19,432,449
396,124.16127725339679,0 days 00:03:14,433,161
329,123.42785030274976,0 days 00:03:11,434,200
421,122.41488646195262,0 days 00:03:09,435,226
371,121.80281976982634,0 days 00:03:14,436,161
406,121.17715828098213,0 days 00:03:09,437,226
132,120.6031357178642,0 days 00:02:22,438,419
210,119.33506526068997,0 days 00:02:15,439,511
387,118.535931031853,0 days 00:03:13,440,176
290,116.24139486992881,0 days 00:03:09,441,226
378,115.59282733042734,0 days 00:03:13,442,176
170,115.1080366317576,0 days 00:02:18,443,470
325,113.26652906843603,0 days 00:03:10,444,211
342,111.18792383258412,0 days 00:03:04,445,281
350,110.41369260525434,0 days 00:03:04,446,281
537,110.22890590317621,0 days 00:02:56,447,327
300,110.0868295407593,0 days 00:03:00,448,310
103,109.50843574666256,0 days 00:02:18,449,470
490,108.95002175061616,0 days 00:03:13,450,176
564,107.93998468425843,0 days 00:02:47,451,358
